,"Recintos de espetáculos, Total, N.º, 2019","Recintos de espetáculos, Salas ou espaços, N.º, 2019","Recintos de espetáculos, Lotação, N.º, 2019","Recintos de espetáculos, Lugares sentados, N.º, 2019","Espetáculos ao vivo  , Sessões, N.º, 2020","Espetáculos ao vivo  , Espetadores/as, N.º, 2020","Espetáculos ao vivo  , Bilhetes vendidos, N.º, 2020","Espetáculos ao vivo  , Receitas, Euros, 2020"
Portugal,388,585,257400,196013,14951,2517028,1401636,24920054
Continente,360,541,237720,182723,14278,2447661,1366012,24625723
Norte,88,146,62259,44076,3537,825550,348620,4621143
Alto Minho,6,8,5398,3889,427,47728,15516,101804
Arcos de Valdevez,1,1,234,232,23,3611,1424,13963
Caminha,0,0,0,0,40,6626,1300,13000
Melgaço,0,0,0,0,0,0,0,0
Monção,0,0,0,0,18,1159,605,2837
Paredes de Coura,1,2,651,510,31,3639,0,0
Ponte da Barca,0,0,0,0,0,0,0,0
Ponte de Lima,1,1,305,305,110,11805,5538,32730
Valença,0,0,0,0,4,684,0,0
Viana do Castelo,3,4,4208,2842,121,14494,6649,39274
Vila Nova de Cerveira,0,0,0,0,80,5710,0,0
Cávado,6,11,4005,3893,289,46517,29524,291566
Amares,0,0,0,0,0,0,0,0
Barcelos,1,2,251,251,61,5165,2627,12070
Braga,3,7,3378,3266,210,37891,25123,271826
Esposende,1,1,226,226,16,…,…,…
Terras de Bouro,1,1,150,150,2,…,…,…
Vila Verde,0,0,0,0,0,0,0,0
Ave,8,13,15453,6065,229,234662,7459,58350
Cabeceiras de Basto,0,0,0,0,0,0,0,0
Fafe,2,3,3938,1674,26,…,…,…
Guimarães,2,4,10373,3249,113,12278,6353,52746
Mondim de Basto,1,1,100,100,0,0,0,0
Póvoa de Lanhoso,1,1,120,120,13,1141,0,0
Vieira do Minho,1,1,254,254,0,0,0,0
Vila Nova de Famalicão,1,3,668,668,76,212017,451,2309
Vizela,0,0,0,0,1,…,…,…
A. M. Porto,38,69,24597,19643,2348,439280,283085,4076236
Arouca,1,1,204,204,15,650,0,0
Espinho,1,1,200,200,22,…,…,…
Gondomar,2,2,1745,841,26,8887,3493,125686
Maia,0,0,0,0,100,9530,1595,8054
Matosinhos,2,3,453,453,69,17624,2234,15619
Oliveira de Azeméis,2,2,965,945,13,2250,0,0
Paredes,2,2,432,428,7,…,…,…
Porto,16,36,14567,11287,1688,322101,235157,3581489
Póvoa de Varzim,2,5,1034,1034,45,6641,4279,34161
Santa Maria da Feira,0,0,0,0,120,23509,12287,100266
Santo Tirso,1,2,500,400,20,4171,90,360
São João da Madeira,1,2,1191,655,48,8819,4060,45084
Trofa,0,0,0,0,0,0,0,0
Vale de Cambra,1,2,302,302,0,0,0,0
Valongo,1,1,301,301,31,3016,543,4420
Vila do Conde,2,6,1383,1273,45,7943,4156,55260
Vila Nova de Gaia,4,4,1320,1320,99,18870,12383,86478
Alto Tâmega,4,6,1021,1019,82,13140,246,890
Boticas,1,1,130,130,0,0,0,0
Chaves,1,3,461,459,81,…,…,…
Montalegre,0,0,0,0,0,0,0,0
Ribeira de Pena,1,1,180,180,0,0,0,0
Valpaços,1,1,250,250,0,0,0,0
Vila Pouca de Aguiar,0,0,0,0,1,…,…,…
Tâmega e Sousa,3,5,1012,682,30,12201,1238,4598
Amarante,1,2,246,206,12,1160,0,0
Baião,0,0,0,0,0,0,0,0
Castelo de Paiva,0,0,0,0,2,…,…,…
Celorico de Basto,0,0,0,0,0,0,0,0
Cinfães,0,0,0,0,1,…,…,…
Felgueiras,1,2,566,276,15,10884,1096,3739
Lousada,1,1,200,200,0,0,0,0
Marco de Canaveses,0,0,0,0,0,0,0,0
Paços de Ferreira,0,0,0,0,0,0,0,0
Penafiel,0,0,0,0,0,0,0,0
Resende,0,0,0,0,0,0,0,0
Douro,14,23,8052,6305,93,14602,9613,77346
Alijó,1,1,248,248,0,0,0,0
Armamar,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0
Lamego,2,4,3218,1696,18,2354,1355,10454
Mesão Frio,1,1,103,103,0,0,0,0
Moimenta da Beira,0,0,0,0,2,…,…,…
Murça,1,1,193,192,0,0,0,0
Penedono,1,3,850,650,0,0,0,0
Peso da Régua,0,0,0,0,1,…,…,…
Sabrosa,1,3,645,645,0,0,0,0
Santa Marta de Penaguião,1,1,213,206,0,0,0,0
São João da Pesqueira,1,1,400,400,3,1000,0,0
Sernancelhe,1,1,150,135,1,…,…,…
Tabuaço,0,0,0,0,0,0,0,0
Tarouca,1,1,196,194,0,0,0,0
Torre de Moncorvo,2,2,397,397,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0
Vila Real,1,4,1439,1439,68,10974,8096,65518
Terras de Trás-os-Montes,9,11,2721,2580,39,17420,1939,10353
Alfândega da Fé,1,1,213,213,0,0,0,0
Bragança,2,4,646,616,18,2407,1439,7853
Macedo de Cavaleiros,1,1,302,302,0,0,0,0
Miranda do Douro,1,1,60,35,0,0,0,0
Mirandela,0,0,0,0,0,0,0,0
Mogadouro,2,2,1050,998,0,0,0,0
Vila Flor,1,1,250,250,5,…,…,…
Vimioso,1,1,200,166,4,…,…,…
Vinhais,0,0,0,0,12,12375,500,2500
Centro,95,133,50086,34678,3502,440000,177374,1627824
Oeste,8,9,5258,2551,354,37377,13670,116636
Alcobaça,1,1,311,311,84,6193,2542,19417
Alenquer,0,0,0,0,18,1325,0,0
Arruda dos Vinhos,2,2,3111,611,2,131,102,204
Bombarral,0,0,0,0,4,100,0,0
Cadaval,0,0,0,0,0,0,0,0
Caldas da Rainha,0,0,0,0,101,…,…,…
Lourinhã,1,1,118,118,0,0,0,0
Nazaré,1,1,365,361,0,0,0,0
Óbidos,1,2,700,500,1,…,…,…
Peniche,0,0,0,0,6,7600,0,0
Sobral de Monte Agraço,1,1,219,216,9,911,426,2175
Torres Vedras,1,1,434,434,129,9366,3677,37458
Região de Aveiro,14,15,5561,5387,526,94698,36200,281341
Águeda,2,3,1361,1336,39,5554,2522,23132
Albergaria-a-Velha,1,1,180,178,32,…,…,…
Anadia,1,1,268,264,11,1980,1625,15235
Aveiro,1,1,180,180,190,50042,12879,98375
Estarreja,2,2,1412,1369,79,11341,4312,35762
Ílhavo,4,4,1340,1240,106,11866,6629,47850
Murtosa,0,0,0,0,0,0,0,0
Oliveira do Bairro,0,0,0,0,31,5063,4167,34305
Ovar,1,1,340,340,32,4269,1605,10886
Sever do Vouga,1,1,300,300,6,…,…,…
Vagos,1,1,180,180,0,0,0,0
Região de Coimbra,18,25,10689,7700,927,104577,58409,751243
Arganil,1,1,252,246,21,…,…,…
Cantanhede,0,0,0,0,62,…,…,…
Coimbra,8,12,4105,3735,714,61523,40494,489259
Condeixa-a-Nova,0,0,0,0,5,…,…,…
Figueira da Foz,2,5,1654,1654,36,…,…,…
Góis,0,0,0,0,0,0,0,0
Lousã,1,1,450,450,8,1000,0,0
Mealhada,1,1,258,258,14,3527,2416,28469
Mira,0,0,0,0,0,0,0,0
Miranda do Corvo,1,1,266,266,6,495,395,2944
Montemor-o-Velho,0,0,0,0,46,…,…,…
Mortágua,1,1,240,236,2,…,…,…
Oliveira do Hospital,1,1,3000,400,0,0,0,0
Pampilhosa da Serra,1,1,178,173,0,0,0,0
Penacova,0,0,0,0,0,0,0,0
Penela,0,0,0,0,0,0,0,0
Soure,0,0,0,0,0,0,0,0
Tábua,1,1,286,282,13,…,…,…
Vila Nova de Poiares,0,0,0,0,0,0,0,0
Região de Leiria,9,18,11654,4561,483,71387,38835,229949
Alvaiázere,0,0,0,0,25,1418,0,0
Ansião,1,3,470,470,23,1378,121,4800
Batalha,1,1,177,175,6,…,…,…
Castanheira de Pêra,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,0,0,0,0,5,494,144,360
Leiria,3,4,1288,1268,220,43704,35298,211241
Marinha Grande,0,0,0,0,98,…,…,…
Pedrógão Grande,0,0,0,0,8,…,…,…
Pombal,2,4,810,805,98,14744,2084,5396
Porto de Mós,2,6,8909,1843,0,0,0,0
Viseu Dão Lafões,16,26,5342,5274,565,45152,6608,50440
Aguiar da Beira,1,3,787,787,0,0,0,0
Carregal do Sal,1,2,398,398,0,0,0,0
Castro Daire,2,2,311,308,6,…,…,…
Mangualde,0,0,0,0,23,1768,718,6966
Nelas,1,2,394,394,0,0,0,0
Oliveira de Frades,2,3,438,438,7,1058,145,435
Penalva do Castelo,0,0,0,0,6,3060,0,0
Santa Comba Dão,1,1,270,266,8,1186,308,1214
São Pedro do Sul,1,1,198,198,1,97,97,970
Sátão,1,1,225,225,1,…,…,…
Tondela,1,3,896,863,73,…,…,…
Vila Nova de Paiva,1,1,214,214,0,0,0,0
Viseu,2,5,635,607,427,31796,3870,32734
Vouzela,2,2,576,576,13,2090,0,0
Beira Baixa,5,7,2715,2481,64,9154,5665,52587
Castelo Branco,2,2,930,930,61,8780,5665,52587
Idanha-a-Nova,1,3,1401,1167,2,…,…,…
Oleiros,0,0,0,0,0,0,0,0
Penamacor,0,0,0,0,0,0,0,0
Proença-a-Nova,1,1,166,166,1,…,…,…
Vila Velha de Ródão,1,1,218,218,0,0,0,0
Médio Tejo,15,16,3873,3715,151,26341,12582,114883
Abrantes,1,1,300,250,3,…,…,…
Alcanena,2,2,454,450,28,3092,225,1153
Constância,1,1,103,103,0,0,0,0
Entroncamento,0,0,0,0,7,1377,1295,14394
Ferreira do Zêzere,2,3,603,503,10,528,184,678
Mação,0,0,0,0,0,0,0,0
Ourém,1,1,350,350,29,…,…,…
Sardoal,1,1,202,200,0,0,0,0
Sertã,2,2,404,402,0,0,0,0
Tomar,1,1,410,410,26,…,…,…
Torres Novas,2,2,679,679,47,12149,10821,98487
Vila de Rei,1,1,224,224,0,0,0,0
Vila Nova da Barquinha,1,1,144,144,1,144,0,0
Beiras e Serra da Estrela,10,17,4994,3009,432,51314,5405,30745
Almeida,1,2,1698,196,0,0,0,0
Belmonte,1,4,700,386,27,1650,0,0
Celorico da Beira,0,0,0,0,1,250,0,0
Covilhã,0,0,0,0,69,5500,1664,4457
Figueira de Castelo Rodrigo,0,0,0,0,0,0,0,0
Fornos de Algodres,0,0,0,0,3,…,…,…
Fundão,1,1,147,147,245,30460,854,7924
Gouveia,1,1,200,200,14,838,211,1306
Guarda,4,6,1303,1138,13,…,…,…
Manteigas,0,0,0,0,16,…,…,…
Mêda,1,2,598,598,0,0,0,0
Pinhel,0,0,0,0,15,603,0,0
Sabugal,0,0,0,0,2,…,…,…
Seia,1,1,348,344,27,2882,667,5976
Trancoso,0,0,0,0,0,0,0,0
A. M. Lisboa,102,156,84550,67010,5781,976950,755724,17415312
Alcochete,1,1,367,365,11,1119,568,7368
Almada,4,7,2046,2038,321,25174,13148,109952
Amadora,3,6,893,845,102,7060,4769,41107
Barreiro,3,3,1365,1365,84,6581,5134,44528
Cascais,8,11,2938,2562,243,20177,16339,211204
Lisboa,43,74,62897,48448,3914,763466,660113,16465799
Loures,3,4,645,645,76,7087,291,1134
Mafra,3,3,350,350,14,1049,1047,4861
Moita,2,3,707,608,29,3298,1478,8823
Montijo,1,2,723,723,20,3233,1837,15598
Odivelas,1,5,413,413,107,8213,3920,22243
Oeiras,9,9,2099,2031,225,12922,8925,98612
Palmela,4,7,1051,1037,95,11462,6631,47786
Seixal,4,4,655,645,64,9413,4646,30527
Sesimbra,3,3,837,837,68,41460,2927,23834
Setúbal,3,3,3207,1184,212,30143,14903,185777
Sintra,5,8,2051,2049,111,14341,8479,92862
Vila Franca de Xira,2,3,1306,865,85,10752,569,3297
Alentejo,58,75,30500,27550,848,93675,24296,214429
Alentejo Litoral,5,6,1242,1238,98,9208,884,4303
Alcácer do Sal,1,1,201,201,9,…,…,…
Grândola,1,2,372,368,44,3625,0,0
Odemira,1,1,255,255,4,145,0,0
Santiago do Cacém,1,1,242,242,35,3295,464,2184
Sines,1,1,172,172,6,…,…,…
Baixo Alentejo,16,25,6569,5766,141,25667,9202,92968
Aljustrel,1,5,1668,1338,0,0,0,0
Almodôvar,1,3,168,167,2,…,…,…
Alvito,0,0,0,0,7,403,0,0
Barrancos,1,1,243,243,0,0,0,0
Beja,3,5,2008,1568,71,12751,8977,91806
Castro Verde,2,2,684,676,21,…,…,…
Cuba,1,1,210,210,9,…,…,…
Ferreira do Alentejo,1,1,126,126,0,0,0,0
Mértola,1,1,172,152,14,1640,0,0
Moura,1,1,239,239,3,…,…,…
Ourique,1,1,168,166,0,0,0,0
Serpa,3,4,883,881,14,…,…,…
Vidigueira,0,0,0,0,0,0,0,0
Lezíria do Tejo,15,16,4493,4446,176,20734,6137,52586
Almeirim,1,1,270,270,24,3900,2665,26467
Alpiarça,2,2,253,219,8,310,0,0
Azambuja,1,1,90,90,9,…,…,…
Benavente,3,3,823,823,0,0,0,0
Cartaxo,1,2,405,399,9,…,…,…
Chamusca,2,2,623,623,4,…,…,…
Coruche,2,2,379,378,1,180,0,0
Golegã,0,0,0,0,0,0,0,0
Rio Maior,1,1,247,243,82,12153,1015,4676
Salvaterra de Magos,0,0,0,0,0,0,0,0
Santarém,2,2,1403,1401,39,2446,1323,11591
Alto Alentejo,9,11,9836,8042,95,11967,4042,41166
Alter do Chão,0,0,0,0,20,1100,0,0
Arronches,1,1,252,252,0,0,0,0
Avis,1,1,274,274,0,0,0,0
Campo Maior,0,0,0,0,5,…,…,…
Castelo de Vide,1,1,2000,250,0,0,0,0
Crato,0,0,0,0,0,0,0,0
Elvas,3,3,6033,6033,36,…,…,…
Fronteira,0,0,0,0,0,0,0,0
Gavião,1,1,263,263,0,0,0,0
Marvão,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0
Nisa,1,1,394,394,0,0,0,0
Ponte de Sor,0,0,0,0,0,0,0,0
Portalegre,1,3,620,576,34,5172,2239,27541
Sousel,0,0,0,0,0,0,0,0
Alentejo Central,13,17,8360,8058,338,26099,4031,23406
Alandroal,1,1,180,180,2,68,0,0
Arraiolos,0,0,0,0,29,2105,0,0
Borba,1,1,81,81,3,300,0,0
Estremoz,1,1,236,236,6,813,536,3993
Évora,3,4,4851,4811,217,9746,2756,16596
Montemor-o-Novo,1,1,776,776,57,3707,439,1317
Mora,0,0,0,0,0,0,0,0
Mourão,0,0,0,0,11,8200,300,1500
Portel,1,1,218,212,0,0,0,0
Redondo,1,1,202,202,0,0,0,0
Reguengos de Monsaraz,1,1,232,232,7,560,0,0
Vendas Novas,1,3,1054,804,6,600,0,0
Viana do Alentejo,1,2,430,424,0,0,0,0
Vila Viçosa,1,1,100,100,0,0,0,0
Algarve,17,31,10325,9409,610,111486,59998,747015
Albufeira,0,0,0,0,15,…,…,…
Alcoutim,0,0,0,0,7,745,0,0
Aljezur,0,0,0,0,1,…,…,…
Castro Marim,0,0,0,0,0,0,0,0
Faro,3,4,1334,1334,203,35980,27040,436018
Lagoa,3,10,4044,3332,48,4977,4180,41983
Lagos,2,2,475,471,85,12059,9852,86789
Loulé,0,0,0,0,74,…,…,…
