,"Educational institutions, Total, 2021/2022 (N.º)","Educational institutions, Public, 2021/2022 (N.º)","Educational institutions, Private, 2021/2022 (N.º)","Teaching staff, Total, 2021/2022 (N.º)","Teaching staff, Public, 2021/2022 (N.º)","Teaching staff, Private, 2021/2022 (N.º)","Students enrolled, Total, 2021/2022 (N.º)","Students enrolled, Public, 2021/2022 (N.º)","Students enrolled, Private, 2021/2022 (N.º)","Graduates, Total, 2020/2021 (N.º)","Graduates, Public, 2020/2021 (N.º)","Graduates, Private, 2020/2021 (N.º)"
Portugal,288,188,100,38667,30372,8295,433217,351195,82022,90920,72885,18035
Continente,272,174,98,37926,29696,8230,426354,344748,81606,89408,71520,17888
Norte,95,48,47,12856,9236,3620,144781,107575,37206,31368,22761,8607
Alto Minho,6,6,0,430,421,9,5177,5177,0,1078,1042,36
Arcos de Valdevez,0,0,0,0,0,0,0,0,0,0,0,0
Caminha,0,0,0,0,0,0,0,0,0,0,0,0
Melgaço,1,1,0,34,34,0,400,400,0,92,92,0
Monção,0,0,0,0,0,0,0,0,0,0,0,0
Paredes de Coura,0,0,0,0,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0,0,0,0,0
Ponte de Lima,1,1,0,52,52,0,597,597,0,132,117,15
Valença,1,1,0,45,45,0,600,600,0,100,100,0
Viana do Castelo,3,3,0,290,290,0,3580,3580,0,733,733,0
Vila Nova de Cerveira,0,0,0,9,0,9,0,0,0,21,0,21
Cávado,10,7,3,1525,1417,108,27604,26360,1244,6263,5971,292
Amares,1,0,1,51,0,51,338,0,338,77,0,77
Barcelos,4,4,0,461,461,0,4168,4168,0,805,805,0
Braga,5,3,2,1013,956,57,23098,22192,906,5381,5166,215
Esposende,0,0,0,0,0,0,0,0,0,0,0,0
Terras de Bouro,0,0,0,0,0,0,0,0,0,0,0,0
Vila Verde,0,0,0,0,0,0,0,0,0,0,0,0
Ave,4,0,4,812,511,301,2234,0,2234,558,0,558
Cabeceiras de Basto,0,0,0,0,0,0,0,0,0,0,0,0
Fafe,2,0,2,90,0,90,587,0,587,187,0,187
Guimarães,0,0,0,511,511,0,0,0,0,0,0,0
Mondim de Basto,0,0,0,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,0,0,0,0,0,0,0,0,0,0,0,0
Vieira do Minho,0,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,2,0,2,211,0,211,1647,0,1647,371,0,371
Vizela,0,0,0,0,0,0,0,0,0,0,0,0
A. M. Porto,60,23,37,8523,5459,3064,88849,56031,32818,19443,11866,7577
Arouca,0,0,0,0,0,0,0,0,0,0,0,0
Espinho,0,0,0,0,0,0,0,0,0,0,0,0
Gondomar,0,0,0,0,0,0,0,0,0,0,0,0
Maia,3,0,3,438,0,438,5321,0,5321,1297,0,1297
Matosinhos,3,1,2,310,234,76,6148,4894,1254,1252,936,316
Oliveira de Azeméis,2,1,1,180,64,116,906,449,457,161,116,45
Paredes,2,0,2,275,0,275,2120,0,2120,713,0,713
Porto,39,18,21,6423,4615,1808,66739,45991,20748,14354,9900,4454
Póvoa de Varzim,0,0,0,0,0,0,0,0,0,0,0,0
Santa Maria da Feira,1,0,1,46,0,46,537,0,537,148,0,148
Santo Tirso,0,0,0,0,0,0,0,0,0,0,0,0
São João da Madeira,0,0,0,0,0,0,0,0,0,0,0,0
Trofa,0,0,0,0,0,0,0,0,0,0,0,0
Vale de Cambra,0,0,0,0,0,0,0,0,0,0,0,0
Valongo,0,0,0,0,0,0,0,0,0,0,0,0
Vila do Conde,2,2,0,158,158,0,1917,1917,0,354,354,0
Vila Nova de Gaia,8,1,7,693,388,305,5161,2780,2381,1164,560,604
Alto Tâmega,1,0,1,23,0,23,381,0,381,55,0,55
Boticas,0,0,0,0,0,0,0,0,0,0,0,0
Chaves,1,0,1,23,0,23,381,0,381,55,0,55
Montalegre,0,0,0,0,0,0,0,0,0,0,0,0
Ribeira de Pena,0,0,0,0,0,0,0,0,0,0,0,0
Valpaços,0,0,0,0,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,0,0,0,0,0,0,0,0,0,0,0,0
Tâmega e Sousa,3,1,2,261,146,115,2357,1828,529,409,320,89
Amarante,0,0,0,0,0,0,0,0,0,0,0,0
Baião,0,0,0,0,0,0,0,0,0,0,0,0
Castelo de Paiva,0,0,0,0,0,0,0,0,0,0,0,0
Celorico de Basto,0,0,0,0,0,0,0,0,0,0,0,0
Cinfães,0,0,0,0,0,0,0,0,0,0,0,0
Felgueiras,1,1,0,146,146,0,1828,1828,0,320,320,0
Lousada,0,0,0,0,0,0,0,0,0,0,0,0
Marco de Canaveses,0,0,0,0,0,0,0,0,0,0,0,0
Paços de Ferreira,0,0,0,0,0,0,0,0,0,0,0,0
Penafiel,2,0,2,115,0,115,529,0,529,89,0,89
Resende,0,0,0,0,0,0,0,0,0,0,0,0
Douro,6,6,0,624,624,0,8455,8455,0,1732,1732,0
Alijó,0,0,0,0,0,0,0,0,0,0,0,0
Armamar,0,0,0,0,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0,0,0,0,0
Lamego,1,1,0,41,41,0,545,545,0,139,139,0
Mesão Frio,0,0,0,0,0,0,0,0,0,0,0,0
Moimenta da Beira,0,0,0,0,0,0,0,0,0,0,0,0
Murça,0,0,0,0,0,0,0,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0,0,0,0,0
Peso da Régua,0,0,0,0,0,0,0,0,0,0,0,0
Sabrosa,0,0,0,0,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,0,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0,0,0,0,0
Tarouca,0,0,0,0,0,0,0,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0,0,0,0,0
Vila Real,5,5,0,583,583,0,7910,7910,0,1593,1593,0
Terras de Trás-os-Montes,5,5,0,658,658,0,9724,9724,0,1830,1830,0
Alfândega da Fé,0,0,0,0,0,0,0,0,0,0,0,0
Bragança,4,4,0,553,553,0,7868,7868,0,1560,1560,0
Macedo de Cavaleiros,0,0,0,0,0,0,0,0,0,0,0,0
Miranda do Douro,0,0,0,0,0,0,0,0,0,0,0,0
Mirandela,1,1,0,105,105,0,1856,1856,0,270,270,0
Mogadouro,0,0,0,0,0,0,0,0,0,0,0,0
Vila Flor,0,0,0,0,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0,0,0,0,0
Centro,54,44,10,8024,7549,475,91582,88412,3170,20130,19433,697
Oeste,2,2,0,311,311,0,3303,3303,0,816,816,0
Alcobaça,0,0,0,0,0,0,0,0,0,0,0,0
