,"Public upper secondary education, Total (N.º)","Public upper secondary education, of which, Regular education, Total (N.º)","Public upper secondary education, of which, Regular education, General courses/ scientific-humanistic (N.º)","Public upper secondary education, of which, Regular education, Technological courses (N.º)","Public upper secondary education, of which, Artistic education, Technological courses (N.º)","Public upper secondary education, of which, Vocational courses, Technological courses (N.º)","Public upper secondary education, of which, Apprenticeship courses, Technological courses (N.º)","Public upper secondary education, of which, Education and training courses, Technological courses (N.º)"
Portugal,277136,184429,184420,9,2635,69079,20655,338
Continente,262574,174142,174133,9,2635,66357,19437,3
Norte,94841,61183,61183,0,1064,24580,8014,0
Alto Minho,7039,4281,4281,0,0,1915,843,0
Arcos de Valdevez,503,306,306,0,0,197,0,0
Caminha,293,282,282,0,0,11,0,0
Melgaço,197,126,126,0,0,71,0,0
Monção,358,301,301,0,0,57,0,0
Paredes de Coura,123,123,123,0,0,0,0,0
Ponte da Barca,257,199,199,0,0,58,0,0
Ponte de Lima,1397,781,781,0,0,616,0,0
Valença,197,160,160,0,0,37,0,0
Viana do Castelo,3571,1860,1860,0,0,868,843,0
Vila Nova de Cerveira,143,143,143,0,0,0,0,0
Cávado,11275,7913,7913,0,72,2511,779,0
Amares,440,285,285,0,0,155,0,0
Barcelos,2814,1934,1934,0,25,855,0,0
Braga,6306,4412,4412,0,47,1068,779,0
Esposende,730,587,587,0,0,143,0,0
Terras de Bouro,76,76,76,0,0,0,0,0
Vila Verde,909,619,619,0,0,290,0,0
Ave,10864,7736,7736,0,0,3128,0,0
Cabeceiras de Basto,338,273,273,0,0,65,0,0
Fafe,1224,971,971,0,0,253,0,0
Guimarães,4342,3101,3101,0,0,1241,0,0
Mondim de Basto,205,108,108,0,0,97,0,0
Póvoa de Lanhoso,565,383,383,0,0,182,0,0
Vieira do Minho,267,224,224,0,0,43,0,0
Vila Nova de Famalicão,3314,2229,2229,0,0,1085,0,0
Vizela,609,447,447,0,0,162,0,0
A. M. Porto,44362,27466,27466,0,968,10382,5546,0
Arouca,568,396,396,0,6,166,0,0
Espinho,1423,1089,1089,0,0,334,0,0
Gondomar,3011,2227,2227,0,0,740,44,0
Maia,2864,2243,2243,0,0,621,0,0
Matosinhos,3515,2662,2662,0,0,853,0,0
Oliveira de Azeméis,1825,921,921,0,0,904,0,0
Paredes,1822,1387,1387,0,0,435,0,0
Porto,10029,3978,3978,0,962,1184,3905,0
Póvoa de Varzim,2326,1766,1766,0,0,560,0,0
Santa Maria da Feira,2506,1353,1353,0,0,625,528,0
Santo Tirso,2013,1158,1158,0,0,855,0,0
São João da Madeira,1439,958,958,0,0,481,0,0
Trofa,690,476,476,0,0,214,0,0
Vale de Cambra,588,368,368,0,0,220,0,0
Valongo,2040,1496,1496,0,0,544,0,0
Vila do Conde,1734,1135,1135,0,0,599,0,0
Vila Nova de Gaia,5969,3853,3853,0,0,1047,1069,0
Alto Tâmega,2059,1421,1421,0,0,564,74,0
Boticas,0,0,0,0,0,0,0,0
Chaves,1233,871,871,0,0,288,74,0
Montalegre,174,113,113,0,0,61,0,0
Ribeira de Pena,161,108,108,0,0,53,0,0
Valpaços,221,152,152,0,0,69,0,0
Vila Pouca de Aguiar,270,177,177,0,0,93,0,0
Tâmega e Sousa,11268,6996,6996,0,24,4248,0,0
Amarante,835,531,531,0,0,304,0,0
Baião,440,200,200,0,0,240,0,0
Castelo de Paiva,509,335,335,0,24,150,0,0
Celorico de Basto,505,256,256,0,0,249,0,0
Cinfães,526,239,239,0,0,287,0,0
Felgueiras,1631,987,987,0,0,644,0,0
Lousada,1205,799,799,0,0,406,0,0
Marco de Canaveses,1662,993,993,0,0,669,0,0
Paços de Ferreira,1559,1024,1024,0,0,535,0,0
Penafiel,2069,1441,1441,0,0,628,0,0
Resende,327,191,191,0,0,136,0,0
Douro,5261,3657,3657,0,0,1194,410,0
Alijó,191,141,141,0,0,50,0,0
Armamar,125,125,125,0,0,0,0,0
Carrazeda de Ansiães,123,70,70,0,0,53,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0
Lamego,857,597,597,0,0,260,0,0
Mesão Frio,142,102,102,0,0,40,0,0
Moimenta da Beira,300,209,209,0,0,91,0,0
Murça,136,110,110,0,0,26,0,0
Penedono,0,0,0,0,0,0,0,0
Peso da Régua,691,362,362,0,0,329,0,0
Sabrosa,146,105,105,0,0,41,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0
São João da Pesqueira,92,92,92,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0
Tabuaço,75,63,63,0,0,12,0,0
Tarouca,147,112,112,0,0,35,0,0
Torre de Moncorvo,124,81,81,0,0,43,0,0
Vila Nova de Foz Côa,86,86,86,0,0,0,0,0
Vila Real,2026,1402,1402,0,0,214,410,0
Terras de Trás-os-Montes,2713,1713,1713,0,0,638,362,0
Alfândega da Fé,71,62,62,0,0,9,0,0
Bragança,1228,727,727,0,0,139,362,0
Macedo de Cavaleiros,333,230,230,0,0,103,0,0
Miranda do Douro,124,89,89,0,0,35,0,0
Mirandela,608,345,345,0,0,263,0,0
Mogadouro,127,92,92,0,0,35,0,0
Vila Flor,117,84,84,0,0,33,0,0
Vimioso,0,0,0,0,0,0,0,0
Vinhais,105,84,84,0,0,21,0,0
Centro,56203,38469,38469,0,8,14985,2741,0
Oeste,8314,5782,5782,0,4,2528,0,0
Alcobaça,1133,677,677,0,0,456,0,0
Alenquer,1019,759,759,0,0,260,0,0
Arruda dos Vinhos,0,0,0,0,0,0,0,0
Bombarral,340,205,205,0,0,135,0,0
Cadaval,181,152,152,0,0,29,0,0
Caldas da Rainha,1806,1225,1225,0,0,581,0,0
Lourinhã,491,349,349,0,0,142,0,0
Nazaré,153,153,153,0,0,0,0,0
Óbidos,197,133,133,0,0,64,0,0
Peniche,516,392,392,0,0,124,0,0
Sobral de Monte Agraço,231,180,180,0,0,51,0,0
Torres Vedras,2247,1557,1557,0,4,686,0,0
Região de Aveiro,9728,6187,6187,0,4,2884,653,0
Águeda,1502,754,754,0,3,506,239,0
Albergaria-a-Velha,482,244,244,0,0,238,0,0
Anadia,627,432,432,0,0,195,0,0
Aveiro,3144,2133,2133,0,0,597,414,0
Estarreja,731,337,337,0,0,394,0,0
Ílhavo,757,503,503,0,1,253,0,0
Murtosa,100,100,100,0,0,0,0,0
Oliveira do Bairro,459,374,374,0,0,85,0,0
Ovar,1160,844,844,0,0,316,0,0
Sever do Vouga,302,223,223,0,0,79,0,0
Vagos,464,243,243,0,0,221,0,0
Região de Coimbra,10940,7584,7584,0,0,2736,620,0
Arganil,480,137,137,0,0,174,169,0
Cantanhede,591,556,556,0,0,35,0,0
Coimbra,5060,3264,3264,0,0,1345,451,0
Condeixa-a-Nova,330,280,280,0,0,50,0,0
Figueira da Foz,1611,1205,1205,0,0,406,0,0
Góis,0,0,0,0,0,0,0,0
Lousã,327,260,260,0,0,67,0,0
Mealhada,262,262,262,0,0,0,0,0
Mira,215,151,151,0,0,64,0,0
Miranda do Corvo,249,173,173,0,0,76,0,0
Montemor-o-Velho,301,229,229,0,0,72,0,0
Mortágua,195,134,134,0,0,61,0,0
Oliveira do Hospital,409,325,325,0,0,84,0,0
Pampilhosa da Serra,28,28,28,0,0,0,0,0
Penacova,201,145,145,0,0,56,0,0
Penela,0,0,0,0,0,0,0,0
Soure,264,182,182,0,0,82,0,0
Tábua,251,153,153,0,0,98,0,0
Vila Nova de Poiares,166,100,100,0,0,66,0,0
Região de Leiria,7138,5062,5062,0,0,1650,426,0
Alvaiázere,80,80,80,0,0,0,0,0
Ansião,277,253,253,0,0,24,0,0
Batalha,314,215,215,0,0,99,0,0
Castanheira de Pêra,0,0,0,0,0,0,0,0
Figueiró dos Vinhos,116,95,95,0,0,21,0,0
Leiria,3646,2472,2472,0,0,748,426,0
Marinha Grande,1273,896,896,0,0,377,0,0
Pedrógão Grande,0,0,0,0,0,0,0,0
Pombal,1044,755,755,0,0,289,0,0
Porto de Mós,388,296,296,0,0,92,0,0
Viseu Dão Lafões,7376,4938,4938,0,0,1917,521,0
Aguiar da Beira,147,120,120,0,0,27,0,0
Carregal do Sal,187,137,137,0,0,50,0,0
Castro Daire,337,235,235,0,0,102,0,0
Mangualde,516,325,325,0,0,191,0,0
Nelas,340,199,199,0,0,141,0,0
Oliveira de Frades,234,157,157,0,0,77,0,0
Penalva do Castelo,209,127,127,0,0,82,0,0
Santa Comba Dão,264,187,187,0,0,77,0,0
São Pedro do Sul,386,262,262,0,0,124,0,0
Sátão,268,186,186,0,0,82,0,0
Tondela,557,425,425,0,0,132,0,0
Vila Nova de Paiva,114,73,73,0,0,41,0,0
Viseu,3622,2387,2387,0,0,714,521,0
Vouzela,195,118,118,0,0,77,0,0
Beira Baixa,1945,1380,1380,0,0,460,105,0
Castelo Branco,1549,1059,1059,0,0,385,105,0
Idanha-a-Nova,100,100,100,0,0,0,0,0
Oleiros,89,62,62,0,0,27,0,0
Penamacor,69,61,61,0,0,8,0,0
Proença-a-Nova,138,98,98,0,0,40,0,0
Vila Velha de Ródão,0,0,0,0,0,0,0,0
Médio Tejo,5909,4172,4172,0,0,1536,201,0
Abrantes,1070,747,747,0,0,323,0,0
Alcanena,313,230,230,0,0,83,0,0
Constância,96,80,80,0,0,16,0,0
Entroncamento,644,470,470,0,0,174,0,0
Ferreira do Zêzere,112,81,81,0,0,31,0,0
Mação,180,76,76,0,0,104,0,0
Ourém,647,441,441,0,0,206,0,0
Sardoal,82,64,64,0,0,18,0,0
Sertã,339,265,265,0,0,74,0,0
Tomar,1327,822,822,0,0,304,201,0
Torres Novas,895,746,746,0,0,149,0,0
Vila de Rei,63,63,63,0,0,0,0,0
Vila Nova da Barquinha,141,87,87,0,0,54,0,0
Beiras e Serra da Estrela,4853,3364,3364,0,0,1274,215,0
Almeida,98,62,62,0,0,36,0,0
Belmonte,73,38,38,0,0,35,0,0
Celorico da Beira,121,97,97,0,0,24,0,0
Covilhã,1378,858,858,0,0,520,0,0
Figueira de Castelo Rodrigo,72,53,53,0,0,19,0,0
Fornos de Algodres,108,79,79,0,0,29,0,0
Fundão,590,400,400,0,0,190,0,0
Gouveia,228,160,160,0,0,68,0,0
Guarda,1141,835,835,0,0,91,215,0
Manteigas,43,43,43,0,0,0,0,0
Mêda,63,63,63,0,0,0,0,0
Pinhel,178,130,130,0,0,48,0,0
Sabugal,162,116,116,0,0,46,0,0
Seia,449,281,281,0,0,168,0,0
Trancoso,149,149,149,0,0,0,0,0
A. M. Lisboa,79384,53498,53489,9,1510,17239,7137,0
Alcochete,696,496,496,0,0,200,0,0
Almada,5110,3691,3691,0,0,1419,0,0
Amadora,4834,2070,2070,0,0,1266,1498,0
Barreiro,2912,2254,2254,0,0,658,0,0
Cascais,5602,3810,3810,0,59,1404,329,0
Lisboa,18063,11593,11584,9,1436,3131,1903,0
Loures,3704,2535,2535,0,0,1169,0,0
Mafra,1845,1418,1418,0,0,427,0,0
Moita,980,637,637,0,0,343,0,0
Montijo,1221,988,988,0,0,233,0,0
Odivelas,3572,2757,2757,0,0,815,0,0
Oeiras,4725,4357,4357,0,0,368,0,0
Palmela,1544,1209,1209,0,13,322,0,0
Seixal,4891,2715,2715,0,2,919,1255,0
Sesimbra,1316,1068,1068,0,0,248,0,0
Setúbal,4050,2543,2543,0,0,837,670,0
Sintra,9653,6831,6831,0,0,2134,688,0
Vila Franca de Xira,4666,2526,2526,0,0,1346,794,0
Alentejo,17964,12619,12619,0,2,4341,1002,0
Alentejo Litoral,1873,1467,1467,0,0,371,35,0
Alcácer do Sal,228,201,201,0,0,27,0,0
Grândola,391,245,245,0,0,146,0,0
Odemira,392,342,342,0,0,50,0,0
Santiago do Cacém,614,472,472,0,0,107,35,0
Sines,248,207,207,0,0,41,0,0
Baixo Alentejo,2892,1834,1834,0,0,794,264,0
Aljustrel,174,111,111,0,0,63,0,0
Almodôvar,133,91,91,0,0,42,0,0
Alvito,0,0,0,0,0,0,0,0
Barrancos,0,0,0,0,0,0,0,0
Beja,1325,813,813,0,0,248,264,0
Castro Verde,192,134,134,0,0,58,0,0
Cuba,0,0,0,0,0,0,0,0
Ferreira do Alentejo,71,59,59,0,0,12,0,0
Mértola,124,85,85,0,0,39,0,0
Moura,359,280,280,0,0,79,0,0
Ourique,101,68,68,0,0,33,0,0
Serpa,413,193,193,0,0,220,0,0
Vidigueira,0,0,0,0,0,0,0,0
Lezíria do Tejo,5984,4314,4314,0,0,1332,338,0
Almeirim,482,298,298,0,0,184,0,0
Alpiarça,159,91,91,0,0,68,0,0
Azambuja,410,312,312,0,0,98,0,0
Benavente,623,454,454,0,0,169,0,0
Cartaxo,514,405,405,0,0,109,0,0
Chamusca,138,121,121,0,0,17,0,0
Coruche,306,286,286,0,0,20,0,0
Golegã,91,78,78,0,0,13,0,0
Rio Maior,668,496,496,0,0,172,0,0
Salvaterra de Magos,524,393,393,0,0,131,0,0
Santarém,2069,1380,1380,0,0,351,338,0
Alto Alentejo,2941,1811,1811,0,2,986,142,0
Alter do Chão,158,46,46,0,0,112,0,0
Arronches,6,0,0,0,0,6,0,0
Avis,0,0,0,0,0,0,0,0
Campo Maior,182,139,139,0,0,43,0,0
Castelo de Vide,0,0,0,0,0,0,0,0
Crato,0,0,0,0,0,0,0,0
Elvas,699,447,447,0,0,252,0,0
Fronteira,0,0,0,0,0,0,0,0
Gavião,20,0,0,0,0,20,0,0
Marvão,0,0,0,0,0,0,0,0
Monforte,0,0,0,0,0,0,0,0
Nisa,82,62,62,0,0,20,0,0
Ponte de Sor,453,346,346,0,0,107,0,0
Portalegre,1210,771,771,0,2,295,142,0
Sousel,131,0,0,0,0,131,0,0
Alentejo Central,4274,3193,3193,0,0,858,223,0
Alandroal,0,0,0,0,0,0,0,0
Arraiolos,120,111,111,0,0,9,0,0
Borba,0,0,0,0,0,0,0,0
Estremoz,480,403,403,0,0,77,0,0
Évora,1957,1306,1306,0,0,428,223,0
Montemor-o-Novo,330,264,264,0,0,66,0,0
Mora,68,56,56,0,0,12,0,0
Mourão,0,0,0,0,0,0,0,0
Portel,15,0,0,0,0,15,0,0
Redondo,120,98,98,0,0,22,0,0
Reguengos de Monsaraz,316,246,246,0,0,70,0,0
Vendas Novas,393,316,316,0,0,77,0,0
Viana do Alentejo,150,125,125,0,0,25,0,0
Vila Viçosa,325,268,268,0,0,57,0,0
Algarve,14182,8373,8373,0,51,5212,543,3
Albufeira,1456,911,911,0,0,545,0,0
Alcoutim,0,0,0,0,0,0,0,0
Aljezur,0,0,0,0,0,0,0,0
Castro Marim,0,0,0,0,0,0,0,0
Faro,2658,1537,1537,0,51,894,176,0
Lagoa,304,131,131,0,0,173,0,0
Lagos,1215,709,709,0,0,506,0,0
Loulé,1935,1220,1220,0,0,712,0,3
Monchique,0,0,0,0,0,0,0,0
Olhão,1166,706,706,0,0,460,0,0
Portimão,2791,1410,1410,0,0,1014,367,0
São Brás de Alportel,306,216,216,0,0,90,0,0
Silves,863,494,494,0,0,369,0,0
Tavira,746,529,529,0,0,217,0,0
Vila do Bispo,0,0,0,0,0,0,0,0
Vila Real de Santo António,742,510,510,0,0,232,0,0
R. A. Açores,6713,4821,4821,0,0,814,1078,0
Santa Maria,158,120,120,0,0,0,38,0
Vila do Porto,158,120,120,0,0,0,38,0
São Miguel,3998,2790,2790,0,0,801,407,0
Lagoa (R.A.A.),443,257,257,0,0,154,32,0
Nordeste,98,93,93,0,0,5,0,0
Ponta Delgada,2389,1725,1725,0,0,459,205,0
Povoação,134,129,129,0,0,5,0,0
Ribeira Grande,649,404,404,0,0,165,80,0
Vila Franca do Campo,285,182,182,0,0,13,90,0
Terceira,1387,982,982,0,0,0,405,0
Angra do Heroísmo,919,627,627,0,0,0,292,0
Vila da Praia da Vitória,468,355,355,0,0,0,113,0
Graciosa,114,74,74,0,0,13,27,0
Santa Cruz da Graciosa,114,74,74,0,0,13,27,0
São Jorge,227,179,179,0,0,0,48,0
Calheta (R.A.A.),100,100,100,0,0,0,0,0
Velas,127,79,79,0,0,0,48,0
Pico,326,270,270,0,0,0,56,0
Lajes do Pico,131,89,89,0,0,0,42,0
Madalena,129,118,118,0,0,0,11,0
São Roque do Pico,66,63,63,0,0,0,3,0
Faial,404,341,341,0,0,0,63,0
Horta,404,341,341,0,0,0,63,0
Flores,86,52,52,0,0,0,34,0
Lajes das Flores,0,0,0,0,0,0,0,0
Santa Cruz das Flores,86,52,52,0,0,0,34,0
Corvo,13,13,13,0,0,0,0,0
Corvo,13,13,13,0,0,0,0,0
R. A. Madeira,7849,5466,5466,0,0,1908,140,335
Calheta (R.A.M.),263,179,179,0,0,84,0,0
Câmara de Lobos,208,126,126,0,0,45,0,37
Funchal,5573,3891,3891,0,0,1278,140,264
Machico,560,421,421,0,0,139,0,0
Ponta do Sol,224,155,155,0,0,61,0,8
Porto Moniz,70,70,70,0,0,0,0,0
Ribeira Brava,319,209,209,0,0,84,0,26
Santa Cruz,211,97,97,0,0,114,0,0
Santana,168,119,119,0,0,49,0,0
São Vicente,104,81,81,0,0,23,0,0
Porto Santo,149,118,118,0,0,31,0,0
