,"Primary education, 1st cycle, Total (N.º)","Primary education, 1st cycle, Public (N.º)","Primary education, 1st cycle, Private (N.º)","Primary education, 2nd cycle, Total (N.º)","Primary education, 2nd cycle, Public (N.º)","Primary education, 2nd cycle, Private (N.º)","Secondary education, Lower, Total (N.º)","Secondary education, Lower, Public (N.º)","Secondary education, Lower, Private (N.º)","Secondary education, Upper, Total (N.º)","Secondary education, Upper, Public (N.º)","Secondary education, Upper, Private (N.º)"
Portugal,2187,2031,156,3990,3267,723,13626,10551,3075,42713,31628,11085
Continente,1484,1328,156,3781,3058,723,12733,9713,3020,40632,29640,10992
Norte,415,289,126,1708,1109,599,5109,3182,1927,13835,7942,5893
Alto Minho,7,0,7,36,9,27,202,82,120,669,336,333
Arcos de Valdevez,3,0,3,6,0,6,14,0,14,90,19,71
Caminha,0,0,0,0,0,0,3,0,3,13,0,13
Melgaço,0,0,0,0,0,0,0,0,0,0,0,0
Monção,0,0,0,0,0,0,19,0,19,52,14,38
Paredes de Coura,0,0,0,0,0,0,0,0,0,0,0,0
Ponte da Barca,1,0,1,19,0,19,13,0,13,11,6,5
Ponte de Lima,2,0,2,2,0,2,47,0,47,125,0,125
Valença,0,0,0,0,0,0,5,5,0,44,44,0
Viana do Castelo,1,0,1,9,9,0,101,77,24,334,253,81
Vila Nova de Cerveira,0,0,0,0,0,0,0,0,0,0,0,0
Cávado,25,23,2,98,63,35,369,195,174,1534,889,645
Amares,0,0,0,0,0,0,3,3,0,29,29,0
Barcelos,2,0,2,33,0,33,104,32,72,263,54,209
Braga,13,13,0,45,45,0,170,134,36,989,664,325
Esposende,10,10,0,18,18,0,10,10,0,86,86,0
Terras de Bouro,0,0,0,0,0,0,0,0,0,0,0,0
Vila Verde,0,0,0,2,0,2,82,16,66,167,56,111
Ave,10,2,8,64,51,13,408,257,151,1173,812,361
Cabeceiras de Basto,1,0,1,9,0,9,22,0,22,55,0,55
Fafe,7,0,7,0,0,0,21,11,10,132,11,121
Guimarães,0,0,0,27,27,0,119,66,53,350,250,100
Mondim de Basto,0,0,0,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,1,1,0,0,0,0,40,40,0,95,95,0
Vieira do Minho,0,0,0,0,0,0,8,8,0,34,34,0
Vila Nova de Famalicão,1,1,0,23,23,0,132,103,29,339,339,0
Vizela,0,0,0,5,1,4,66,29,37,168,83,85
A. M. Porto,249,174,75,806,674,132,2388,1740,648,6556,3670,2886
Arouca,0,0,0,0,0,0,57,14,43,90,0,90
Espinho,0,0,0,2,0,2,38,0,38,63,15,48
Gondomar,16,16,0,47,45,2,127,86,41,451,416,35
Maia,33,23,10,46,30,16,49,40,9,164,152,12
Matosinhos,42,35,7,154,146,8,332,266,66,639,451,188
Oliveira de Azeméis,0,0,0,0,0,0,37,37,0,137,137,0
Paredes,51,0,51,117,42,75,180,36,144,342,110,232
Porto,44,43,1,122,118,4,516,450,66,2010,792,1218
Póvoa de Varzim,0,0,0,9,9,0,78,78,0,224,224,0
Santa Maria da Feira,14,14,0,88,88,0,247,236,11,551,433,118
Santo Tirso,18,18,0,0,0,0,62,62,0,207,207,0
São João da Madeira,0,0,0,39,39,0,21,21,0,108,74,34
Trofa,0,0,0,0,0,0,34,34,0,84,84,0
Vale de Cambra,0,0,0,0,0,0,25,25,0,38,38,0
Valongo,2,0,2,7,0,7,105,20,85,255,98,157
Vila do Conde,1,0,1,11,6,5,41,13,28,66,18,48
Vila Nova de Gaia,28,25,3,164,151,13,439,322,117,1127,421,706
Alto Tâmega,0,0,0,20,16,4,111,98,13,266,230,36
Boticas,0,0,0,0,0,0,0,0,0,0,0,0
Chaves,0,0,0,20,16,4,111,98,13,229,193,36
Montalegre,0,0,0,0,0,0,0,0,0,15,15,0
Ribeira de Pena,0,0,0,0,0,0,0,0,0,0,0,0
Valpaços,0,0,0,0,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,0,0,0,0,0,0,0,0,0,22,22,0
Tâmega e Sousa,65,61,4,317,197,120,1005,561,444,1676,988,688
Amarante,0,0,0,47,47,0,92,92,0,91,91,0
Baião,0,0,0,0,0,0,0,0,0,58,58,0
Castelo de Paiva,1,0,1,53,0,53,149,16,133,66,0,66
Celorico de Basto,0,0,0,20,20,0,39,39,0,99,99,0
Cinfães,0,0,0,0,0,0,16,16,0,65,65,0
Felgueiras,20,20,0,5,2,3,68,45,23,314,242,72
Lousada,2,2,0,4,4,0,58,58,0,168,168,0
Marco de Canaveses,0,0,0,16,16,0,70,70,0,44,44,0
Paços de Ferreira,39,38,1,74,43,31,220,148,72,190,36,154
Penafiel,3,1,2,98,65,33,293,77,216,566,170,396
Resende,0,0,0,0,0,0,0,0,0,15,15,0
Douro,28,3,25,201,48,153,302,154,148,891,637,254
Alijó,0,0,0,12,12,0,0,0,0,0,0,0
Armamar,0,0,0,0,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0,0,0,0,0
Lamego,1,1,0,24,24,0,60,60,0,154,154,0
Mesão Frio,0,0,0,0,0,0,0,0,0,15,15,0
Moimenta da Beira,0,0,0,0,0,0,12,12,0,77,77,0
Murça,0,0,0,0,0,0,16,0,16,13,13,0
Penedono,0,0,0,0,0,0,0,0,0,0,0,0
Peso da Régua,0,0,0,3,3,0,21,21,0,52,52,0
Sabrosa,0,0,0,0,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,14,0,14,20,0,20
Sernancelhe,0,0,0,0,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0,0,0,0,0
Tarouca,0,0,0,0,0,0,0,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0,0,0,0,0
Vila Real,27,2,25,162,9,153,179,61,118,560,326,234
Terras de Trás-os-Montes,31,26,5,166,51,115,324,95,229,1070,380,690
Alfândega da Fé,0,0,0,0,0,0,0,0,0,0,0,0
Bragança,27,25,2,44,35,9,79,61,18,366,207,159
Macedo de Cavaleiros,0,0,0,9,0,9,17,0,17,228,78,150
Miranda do Douro,0,0,0,0,0,0,0,0,0,9,9,0
Mirandela,3,1,2,60,16,44,114,34,80,245,77,168
Mogadouro,1,0,1,53,0,53,114,0,114,217,4,213
Vila Flor,0,0,0,0,0,0,0,0,0,0,0,0
Vimioso,0,0,0,0,0,0,0,0,0,0,0,0
Vinhais,0,0,0,0,0,0,0,0,0,5,5,0
Centro,249,222,27,683,598,85,2684,2156,528,8576,6615,1961
Oeste,8,8,0,65,58,7,353,304,49,1422,1302,120
Alcobaça,0,0,0,22,22,0,53,20,33,208,120,88
Alenquer,0,0,0,3,3,0,64,64,0,285,285,0
Arruda dos Vinhos,0,0,0,0,0,0,0,0,0,0,0,0
Bombarral,0,0,0,2,2,0,38,38,0,81,81,0
Cadaval,0,0,0,0,0,0,0,0,0,29,29,0
Caldas da Rainha,3,3,0,8,8,0,79,79,0,300,300,0
Lourinhã,0,0,0,0,0,0,26,26,0,143,143,0
Nazaré,0,0,0,7,0,7,16,0,16,60,28,32
Óbidos,0,0,0,0,0,0,0,0,0,0,0,0
Peniche,5,5,0,5,5,0,22,22,0,57,57,0
