,"Educação pré-escolar, Total (N.º)","Educação pré-escolar, Público (N.º)","Educação pré-escolar, Privado (N.º)","Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, Com menos de 21 alunas/os (N.º)","Ensino básico, 1º Ciclo, Público (N.º)","Ensino básico, 1º Ciclo, Privado (N.º)","Ensino básico, 2º Ciclo, Total (N.º)","Ensino básico, 2º Ciclo, Público (N.º)","Ensino básico, 2º Ciclo, Privado (N.º)","Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, Público (N.º)","Ensino básico, 3º Ciclo, Privado (N.º)","Ensino secundário, 3º Ciclo, Total (N.º)","Ensino secundário, 3º Ciclo, Público (N.º)","Ensino secundário, 3º Ciclo, Privado (N.º)"
Portugal,5774,3485,2289,4057,x,3547,510,1180,917,263,1440,1128,312,967,590,377
Continente,5470,3285,2185,3825,187,3344,481,1115,860,255,1376,1070,306,902,549,353
Norte,1936,1284,652,1346,25,1214,132,386,306,80,494,379,115,340,199,141
Alto Minho,113,81,32,84,1,82,2,25,24,1,34,28,6,31,19,12
Arcos de Valdevez,10,6,4,4,0,4,0,2,2,0,3,3,0,2,1,1
Caminha,11,8,3,10,0,10,0,2,2,0,3,2,1,4,2,2
Melgaço,3,2,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Monção,6,5,1,4,0,4,0,2,2,0,4,3,1,2,1,1
Paredes de Coura,5,2,3,1,0,1,0,1,1,0,1,1,0,2,1,1
Ponte da Barca,4,3,1,3,0,3,0,1,1,0,1,1,0,2,1,1
Ponte de Lima,19,18,1,14,0,14,0,4,4,0,7,6,1,4,3,1
Valença,8,8,0,7,0,7,0,1,1,0,1,1,0,2,1,1
Viana do Castelo,43,26,17,36,1,34,2,10,9,1,12,9,3,10,7,3
Vila Nova de Cerveira,4,3,1,3,0,3,0,1,1,0,1,1,0,2,1,1
Cávado,250,188,62,189,4,175,14,45,33,12,60,44,16,32,16,16
Amares,7,6,1,6,0,6,0,1,1,0,2,2,0,1,1,0
Barcelos,81,70,11,64,2,62,2,11,8,3,16,11,5,11,6,5
Braga,101,63,38,75,1,64,11,22,13,9,27,18,9,15,6,9
Esposende,23,15,8,19,0,19,0,4,4,0,6,5,1,2,1,1
Terras de Bouro,7,5,2,3,0,3,0,2,2,0,2,2,0,1,1,0
Vila Verde,31,29,2,22,1,21,1,5,5,0,7,6,1,2,1,1
Ave,224,139,85,159,1,152,7,42,35,7,52,38,14,30,15,15
Cabeceiras de Basto,10,9,1,7,0,7,0,2,2,0,3,2,1,2,1,1
Fafe,28,18,10,21,1,20,1,6,5,1,7,5,2,3,1,2
Guimarães,84,48,36,60,0,58,2,17,14,3,19,14,5,11,5,6
Mondim de Basto,4,3,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Póvoa de Lanhoso,11,9,2,5,0,5,0,2,2,0,4,3,1,2,1,1
Vieira do Minho,5,4,1,4,0,4,0,1,1,0,1,1,0,1,1,0
Vila Nova de Famalicão,72,39,33,50,0,46,4,11,8,3,14,9,5,8,3,5
Vizela,10,9,1,10,0,10,0,2,2,0,3,3,0,2,2,0
A. M. Porto,873,513,360,592,6,503,89,178,126,52,228,163,65,157,84,73
Arouca,13,12,1,12,1,12,0,2,2,0,2,2,0,2,2,0
Espinho,10,6,4,6,0,6,0,5,4,1,7,4,3,6,3,3
Gondomar,69,46,23,50,2,43,7,12,9,3,16,13,3,8,5,3
Maia,66,35,31,39,0,35,4,10,7,3,10,8,2,8,6,2
Matosinhos,69,30,39,40,0,32,8,15,12,3,21,16,5,10,6,4
Oliveira de Azeméis,39,26,13,29,1,26,3,8,8,0,8,8,0,4,4,0
Paredes,32,27,5,17,0,15,2,9,7,2,10,9,1,9,8,1
Porto,135,42,93,79,0,47,32,39,20,19,52,27,25,53,18,35
Póvoa de Varzim,34,17,17,21,0,20,1,6,5,1,8,7,1,4,3,1
Santa Maria da Feira,83,57,26,53,0,50,3,13,10,3,13,11,2,6,3,3
Santo Tirso,40,30,10,36,2,31,5,10,7,3,14,9,5,9,4,5
São João da Madeira,15,10,5,11,0,9,2,4,3,1,5,4,1,6,4,2
Trofa,20,16,4,17,0,16,1,4,3,1,5,4,1,3,2,1
Vale de Cambra,13,12,1,10,0,10,0,2,2,0,2,2,0,1,1,0
Valongo,47,29,18,34,0,28,6,10,7,3,13,9,4,6,4,2
Vila do Conde,47,33,14,35,0,33,2,6,5,1,9,7,2,3,2,1
Vila Nova de Gaia,141,85,56,103,0,90,13,23,15,8,33,23,10,19,9,10
Alto Tâmega,46,32,14,29,2,25,4,13,13,0,13,13,0,9,8,1
Boticas,3,2,1,1,0,1,0,1,1,0,1,1,0,0,0,0
Chaves,18,11,7,16,2,12,4,4,4,0,4,4,0,4,3,1
Montalegre,3,3,0,3,0,3,0,2,2,0,2,2,0,2,2,0
Ribeira de Pena,4,2,2,2,0,2,0,2,2,0,2,2,0,1,1,0
Valpaços,8,5,3,4,0,4,0,2,2,0,2,2,0,1,1,0
Vila Pouca de Aguiar,10,9,1,3,0,3,0,2,2,0,2,2,0,1,1,0
Tâmega e Sousa,265,220,45,197,3,189,8,45,39,6,59,51,8,37,26,11
Amarante,27,22,5,18,0,17,1,6,4,2,7,5,2,5,1,4
Baião,14,9,5,5,0,5,0,3,3,0,3,3,0,1,1,0
Castelo de Paiva,18,16,2,12,1,12,0,2,2,0,2,2,0,1,1,0
