,"Ensino secundário, Total (N.º)","Ensino secundário, Público (N.º)","Ensino secundário, Privado  (N.º)","Ensino pós-secundário não superior , Total (N.º)","Ensino pós-secundário não superior , Público (N.º)","Ensino pós-secundário não superior , Privado  (N.º)"
Portugal,350627,277136,73491,5670,5629,41
Continente,332508,262574,69934,5670,5629,41
Norte,123187,94841,28346,1417,1417,0
Alto Minho,8295,7039,1256,93,93,0
Arcos de Valdevez,596,503,93,0,0,0
Caminha,440,293,147,0,0,0
Melgaço,197,197,0,0,0,0
Monção,573,358,215,0,0,0
Paredes de Coura,251,123,128,0,0,0
Ponte da Barca,363,257,106,0,0,0
Ponte de Lima,1513,1397,116,0,0,0
Valença,259,197,62,0,0,0
Viana do Castelo,3910,3571,339,93,93,0
Vila Nova de Cerveira,193,143,50,0,0,0
Cávado,15260,11275,3985,0,0,0
Amares,440,440,0,0,0,0
Barcelos,3585,2814,771,0,0,0
Braga,8787,6306,2481,0,0,0
Esposende,936,730,206,0,0,0
Terras de Bouro,76,76,0,0,0,0
Vila Verde,1436,909,527,0,0,0
Ave,13151,10864,2287,0,0,0
Cabeceiras de Basto,499,338,161,0,0,0
Fafe,1532,1224,308,0,0,0
Guimarães,4875,4342,533,0,0,0
Mondim de Basto,205,205,0,0,0,0
Póvoa de Lanhoso,741,565,176,0,0,0
Vieira do Minho,267,267,0,0,0,0
Vila Nova de Famalicão,4423,3314,1109,0,0,0
Vizela,609,609,0,0,0,0
A. M. Porto,61678,44362,17316,1192,1192,0
Arouca,568,568,0,0,0,0
Espinho,1830,1423,407,0,0,0
Gondomar,3758,3011,747,0,0,0
Maia,3227,2864,363,157,157,0
Matosinhos,4407,3515,892,0,0,0
Oliveira de Azeméis,1825,1825,0,0,0,0
Paredes,1961,1822,139,0,0,0
Porto,18021,10029,7992,493,493,0
Póvoa de Varzim,2459,2326,133,0,0,0
Santa Maria da Feira,3112,2506,606,56,56,0
Santo Tirso,2835,2013,822,0,0,0
São João da Madeira,1649,1439,210,486,486,0
Trofa,1055,690,365,0,0,0
Vale de Cambra,588,588,0,0,0,0
Valongo,2293,2040,253,0,0,0
Vila do Conde,1989,1734,255,0,0,0
Vila Nova de Gaia,10101,5969,4132,0,0,0
Alto Tâmega,2248,2059,189,0,0,0
Boticas,0,0,0,0,0,0
Chaves,1422,1233,189,0,0,0
Montalegre,174,174,0,0,0,0
Ribeira de Pena,161,161,0,0,0,0
Valpaços,221,221,0,0,0,0
Vila Pouca de Aguiar,270,270,0,0,0,0
Tâmega e Sousa,13512,11268,2244,0,0,0
Amarante,2223,835,1388,0,0,0
Baião,440,440,0,0,0,0
Castelo de Paiva,509,509,0,0,0,0
Celorico de Basto,505,505,0,0,0,0
Cinfães,577,526,51,0,0,0
Felgueiras,1916,1631,285,0,0,0
Lousada,1405,1205,200,0,0,0
Marco de Canaveses,1662,1662,0,0,0,0
Paços de Ferreira,1782,1559,223,0,0,0
Penafiel,2166,2069,97,0,0,0
Resende,327,327,0,0,0,0
Douro,6011,5261,750,116,116,0
Alijó,191,191,0,0,0,0
Armamar,125,125,0,0,0,0
Carrazeda de Ansiães,123,123,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0
Lamego,1004,857,147,62,62,0
Mesão Frio,142,142,0,0,0,0
Moimenta da Beira,386,300,86,0,0,0
Murça,237,136,101,0,0,0
Penedono,0,0,0,0,0,0
Peso da Régua,691,691,0,0,0,0
Sabrosa,146,146,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0
São João da Pesqueira,185,92,93,0,0,0
Sernancelhe,136,0,136,0,0,0
Tabuaço,75,75,0,0,0,0
Tarouca,147,147,0,0,0,0
Torre de Moncorvo,124,124,0,0,0,0
Vila Nova de Foz Côa,86,86,0,0,0,0
Vila Real,2213,2026,187,54,54,0
Terras de Trás-os-Montes,3032,2713,319,16,16,0
Alfândega da Fé,71,71,0,0,0,0
Bragança,1396,1228,168,16,16,0
Macedo de Cavaleiros,409,333,76,0,0,0
Miranda do Douro,124,124,0,0,0,0
Mirandela,683,608,75,0,0,0
Mogadouro,127,127,0,0,0,0
Vila Flor,117,117,0,0,0,0
Vimioso,0,0,0,0,0,0
Vinhais,105,105,0,0,0,0
Centro,71332,56203,15129,758,717,41
Oeste,11637,8314,3323,44,44,0
Alcobaça,1639,1133,506,0,0,0
Alenquer,1034,1019,15,0,0,0
Arruda dos Vinhos,681,0,681,0,0,0
Bombarral,340,340,0,0,0,0
Cadaval,181,181,0,0,0,0
Caldas da Rainha,2336,1806,530,23,23,0
Lourinhã,491,491,0,0,0,0
Nazaré,409,153,256,0,0,0
Óbidos,197,197,0,21,21,0
Peniche,580,516,64,0,0,0
Sobral de Monte Agraço,231,231,0,0,0,0
Torres Vedras,3518,2247,1271,0,0,0
Região de Aveiro,11809,9728,2081,132,91,41
Águeda,1502,1502,0,71,71,0
Albergaria-a-Velha,870,482,388,0,0,0
Anadia,1041,627,414,0,0,0
Aveiro,3696,3144,552,61,20,41
Estarreja,731,731,0,0,0,0
Ílhavo,757,757,0,0,0,0
Murtosa,100,100,0,0,0,0
Oliveira do Bairro,565,459,106,0,0,0
Ovar,1245,1160,85,0,0,0
Sever do Vouga,539,302,237,0,0,0
Vagos,763,464,299,0,0,0
Região de Coimbra,13459,10940,2519,293,293,0
Arganil,480,480,0,74,74,0
Cantanhede,871,591,280,0,0,0
Coimbra,5962,5060,902,219,219,0
Condeixa-a-Nova,330,330,0,0,0,0
Figueira da Foz,1838,1611,227,0,0,0
Góis,0,0,0,0,0,0
Lousã,477,327,150,0,0,0
Mealhada,543,262,281,0,0,0
Mira,215,215,0,0,0,0
Miranda do Corvo,249,249,0,0,0,0
Montemor-o-Velho,408,301,107,0,0,0
Mortágua,195,195,0,0,0,0
Oliveira do Hospital,596,409,187,0,0,0
Pampilhosa da Serra,28,28,0,0,0,0
Penacova,435,201,234,0,0,0
Penela,40,0,40,0,0,0
Soure,337,264,73,0,0,0
Tábua,289,251,38,0,0,0
Vila Nova de Poiares,166,166,0,0,0,0
Região de Leiria,9484,7138,2346,73,73,0
Alvaiázere,141,80,61,0,0,0
Ansião,503,277,226,0,0,0
Batalha,314,314,0,0,0,0
Castanheira de Pêra,0,0,0,0,0,0
Figueiró dos Vinhos,116,116,0,0,0,0
Leiria,4162,3646,516,73,73,0
Marinha Grande,1549,1273,276,0,0,0
Pedrógão Grande,173,0,173,0,0,0
Pombal,1808,1044,764,0,0,0
Porto de Mós,718,388,330,0,0,0
Viseu Dão Lafões,8596,7376,1220,72,72,0
Aguiar da Beira,147,147,0,0,0,0
Carregal do Sal,187,187,0,0,0,0
Castro Daire,382,337,45,0,0,0
Mangualde,516,516,0,0,0,0
Nelas,340,340,0,0,0,0
Oliveira de Frades,234,234,0,0,0,0
Penalva do Castelo,209,209,0,0,0,0
Santa Comba Dão,264,264,0,0,0,0
São Pedro do Sul,543,386,157,0,0,0
Sátão,268,268,0,0,0,0
Tondela,894,557,337,0,0,0
Vila Nova de Paiva,114,114,0,0,0,0
Viseu,4133,3622,511,72,72,0
Vouzela,365,195,170,0,0,0
Beira Baixa,2246,1945,301,92,92,0
Castelo Branco,1767,1549,218,92,92,0
Idanha-a-Nova,183,100,83,0,0,0
Oleiros,89,89,0,0,0,0
Penamacor,69,69,0,0,0,0
Proença-a-Nova,138,138,0,0,0,0
Vila Velha de Ródão,0,0,0,0,0,0
Médio Tejo,7957,5909,2048,28,28,0
Abrantes,1070,1070,0,0,0,0
Alcanena,313,313,0,0,0,0
Constância,96,96,0,0,0,0
Entroncamento,801,644,157,0,0,0
Ferreira do Zêzere,112,112,0,0,0,0
Mação,180,180,0,0,0,0
Ourém,1999,647,1352,0,0,0
Sardoal,82,82,0,0,0,0
Sertã,513,339,174,0,0,0
Tomar,1462,1327,135,28,28,0
Torres Novas,1125,895,230,0,0,0
Vila de Rei,63,63,0,0,0,0
Vila Nova da Barquinha,141,141,0,0,0,0
Beiras e Serra da Estrela,6144,4853,1291,24,24,0
Almeida,98,98,0,0,0,0
Belmonte,73,73,0,0,0,0
Celorico da Beira,121,121,0,0,0,0
Covilhã,1463,1378,85,0,0,0
Figueira de Castelo Rodrigo,72,72,0,0,0,0
Fornos de Algodres,108,108,0,0,0,0
Fundão,805,590,215,0,0,0
Gouveia,328,228,100,0,0,0
Guarda,1578,1141,437,24,24,0
Manteigas,78,43,35,0,0,0
Mêda,63,63,0,0,0,0
Pinhel,178,178,0,0,0,0
Sabugal,162,162,0,0,0,0
Seia,590,449,141,0,0,0
Trancoso,427,149,278,0,0,0
A. M. Lisboa,102074,79384,22690,2702,2702,0
Alcochete,696,696,0,0,0,0
Almada,6110,5110,1000,0,0,0
Amadora,5693,4834,859,50,50,0
Barreiro,3211,2912,299,0,0,0
Cascais,8109,5602,2507,91,91,0
Lisboa,29688,18063,11625,2220,2220,0
Loures,4161,3704,457,0,0,0
Mafra,2751,1845,906,0,0,0
Moita,1532,980,552,0,0,0
Montijo,1561,1221,340,0,0,0
Odivelas,3778,3572,206,0,0,0
Oeiras,5590,4725,865,0,0,0
Palmela,1954,1544,410,0,0,0
Seixal,5479,4891,588,92,92,0
Sesimbra,1439,1316,123,0,0,0
Setúbal,4518,4050,468,167,167,0
Sintra,10805,9653,1152,33,33,0
Vila Franca de Xira,4999,4666,333,49,49,0
Alentejo,21170,17964,3206,388,388,0
Alentejo Litoral,2484,1873,611,15,15,0
Alcácer do Sal,228,228,0,0,0,0
Grândola,391,391,0,0,0,0
Odemira,764,392,372,0,0,0
Santiago do Cacém,614,614,0,15,15,0
Sines,487,248,239,0,0,0
Baixo Alentejo,3546,2892,654,96,96,0
Aljustrel,174,174,0,0,0,0
Almodôvar,133,133,0,0,0,0
Alvito,173,0,173,0,0,0
Barrancos,0,0,0,0,0,0
Beja,1449,1325,124,96,96,0
Castro Verde,192,192,0,0,0,0
Cuba,120,0,120,0,0,0
Ferreira do Alentejo,71,71,0,0,0,0
Mértola,153,124,29,0,0,0
Moura,455,359,96,0,0,0
Ourique,101,101,0,0,0,0
Serpa,413,413,0,0,0,0
Vidigueira,112,0,112,0,0,0
Lezíria do Tejo,7380,5984,1396,41,41,0
Almeirim,482,482,0,0,0,0
Alpiarça,159,159,0,0,0,0
Azambuja,410,410,0,0,0,0
Benavente,623,623,0,0,0,0
Cartaxo,514,514,0,0,0,0
Chamusca,138,138,0,0,0,0
Coruche,432,306,126,0,0,0
Golegã,91,91,0,0,0,0
Rio Maior,856,668,188,0,0,0
Salvaterra de Magos,911,524,387,0,0,0
Santarém,2764,2069,695,41,41,0
Alto Alentejo,3001,2941,60,115,115,0
Alter do Chão,158,158,0,0,0,0
Arronches,6,6,0,0,0,0
Avis,0,0,0,0,0,0
Campo Maior,182,182,0,0,0,0
Castelo de Vide,0,0,0,0,0,0
Crato,60,0,60,0,0,0
Elvas,699,699,0,0,0,0
Fronteira,0,0,0,0,0,0
Gavião,20,20,0,0,0,0
Marvão,0,0,0,0,0,0
Monforte,0,0,0,0,0,0
Nisa,82,82,0,0,0,0
Ponte de Sor,453,453,0,0,0,0
Portalegre,1210,1210,0,115,115,0
Sousel,131,131,0,0,0,0
Alentejo Central,4759,4274,485,121,121,0
Alandroal,0,0,0,0,0,0
Arraiolos,120,120,0,0,0,0
Borba,0,0,0,0,0,0
Estremoz,480,480,0,0,0,0
Évora,2442,1957,485,121,121,0
Montemor-o-Novo,330,330,0,0,0,0
Mora,68,68,0,0,0,0
Mourão,0,0,0,0,0,0
Portel,15,15,0,0,0,0
Redondo,120,120,0,0,0,0
Reguengos de Monsaraz,316,316,0,0,0,0
Vendas Novas,393,393,0,0,0,0
Viana do Alentejo,150,150,0,0,0,0
Vila Viçosa,325,325,0,0,0,0
Algarve,14745,14182,563,405,405,0
Albufeira,1496,1456,40,0,0,0
Alcoutim,0,0,0,0,0,0
Aljezur,20,0,20,0,0,0
Castro Marim,0,0,0,0,0,0
Faro,2727,2658,69,287,287,0
Lagoa,363,304,59,0,0,0
Lagos,1235,1215,20,0,0,0
Loulé,2123,1935,188,0,0,0
Monchique,0,0,0,0,0,0
Olhão,1166,1166,0,0,0,0
Portimão,2928,2791,137,105,105,0
São Brás de Alportel,306,306,0,0,0,0
Silves,893,863,30,0,0,0
Tavira,746,746,0,0,0,0
Vila do Bispo,0,0,0,0,0,0
Vila Real de Santo António,742,742,0,13,13,0
R. A. Açores,8733,6713,2020,0,0,0
Santa Maria,158,158,0,0,0,0
Vila do Porto,158,158,0,0,0,0
São Miguel,5284,3998,1286,0,0,0
Lagoa (R.A.A.),505,443,62,0,0,0
Nordeste,147,98,49,0,0,0
Ponta Delgada,3243,2389,854,0,0,0
Povoação,212,134,78,0,0,0
Ribeira Grande,784,649,135,0,0,0
Vila Franca do Campo,393,285,108,0,0,0
Terceira,1793,1387,406,0,0,0
Angra do Heroísmo,1084,919,165,0,0,0
Vila da Praia da Vitória,709,468,241,0,0,0
Graciosa,114,114,0,0,0,0
Santa Cruz da Graciosa,114,114,0,0,0,0
São Jorge,332,227,105,0,0,0
Calheta (R.A.A.),100,100,0,0,0,0
Velas,232,127,105,0,0,0
Pico,425,326,99,0,0,0
Lajes do Pico,131,131,0,0,0,0
Madalena,228,129,99,0,0,0
São Roque do Pico,66,66,0,0,0,0
Faial,528,404,124,0,0,0
Horta,528,404,124,0,0,0
Flores,86,86,0,0,0,0
Lajes das Flores,0,0,0,0,0,0
Santa Cruz das Flores,86,86,0,0,0,0
Corvo,13,13,0,0,0,0
Corvo,13,13,0,0,0,0
R. A. Madeira,9386,7849,1537,0,0,0
Calheta (R.A.M.),263,263,0,0,0,0
Câmara de Lobos,208,208,0,0,0,0
Funchal,7110,5573,1537,0,0,0
Machico,560,560,0,0,0,0
Ponta do Sol,224,224,0,0,0,0
Porto Moniz,70,70,0,0,0,0
Ribeira Brava,319,319,0,0,0,0
Santa Cruz,211,211,0,0,0,0
Santana,168,168,0,0,0,0
São Vicente,104,104,0,0,0,0
Porto Santo,149,149,0,0,0,0
