,"Appointments in external appointments unit of hospitals according to the specialty, Total (N.º)","Appointments in external appointments unit of hospitals according to the specialty, General surgery (N.º)","Appointments in external appointments unit of hospitals according to the specialty, Gynaecology (N.º)","Appointments in external appointments unit of hospitals according to the specialty, Internal medicine (N.º)","Appointments in external appointments unit of hospitals according to the specialty, Ophthalmology (N.º)","Appointments in external appointments unit of hospitals according to the specialty, Orthopaedics (N.º)","Appointments in external appointments unit of hospitals according to the specialty, Otorhinolaryngology (N.º)","Appointments in external appointments unit of hospitals according to the specialty, Medical paediatrics (N.º)","Appointments in external appointments unit of hospitals according to the specialty, Psychiatry (N.º)","Appointments in external appointments unit of hospitals according to the specialty, Others (N.º)"
Portugal,18428167,863192,1343622,728937,1380473,1586570,820679,916103,828212,9960379
Continente,17837619,831581,1289205,691769,1351325,1545107,790692,886035,801452,9650453
Norte,7381611,373987,526467,257144,553482,705419,317755,367646,307034,3972677
Alto Minho,…,...,...,...,...,...,...,...,...,...
Arcos de Valdevez,0,0,0,0,0,0,0,0,0,0
Caminha,0,0,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0,0,0
Monção,0,0,0,0,0,0,0,0,0,0
Paredes de Coura,0,0,0,0,0,0,0,0,0,0
Ponte da Barca,0,0,0,0,0,0,0,0,0,0
Ponte de Lima,0,0,0,0,0,0,0,0,0,0
Valença,0,0,0,0,0,0,0,0,0,0
Viana do Castelo,...,...,...,...,...,...,...,...,...,...
Vila Nova de Cerveira,0,0,0,0,0,0,0,0,0,0
Cávado,989365,38350,70470,29586,83187,87358,51013,34822,29154,565425
Amares,...,...,...,...,...,...,...,...,...,...
Barcelos,96820,11603,2143,8123,11622,18232,7306,5803,27,31961
Braga,800236,23536,63952,21127,59808,59814,37663,27351,28234,478751
Esposende,...,...,...,...,...,...,...,...,...,...
Terras de Bouro,0,0,0,0,0,0,0,0,0,0
Vila Verde,...,...,...,...,...,...,...,...,...,...
Ave,397587,27276,33850,7652,38802,45909,22935,14716,16405,190042
Cabeceiras de Basto,0,0,0,0,0,0,0,0,0,0
Fafe,0,0,0,0,0,0,0,0,0,0
Guimarães,...,...,...,...,...,...,...,...,...,...
Mondim de Basto,0,0,0,0,0,0,0,0,0,0
Póvoa de Lanhoso,...,...,...,...,...,...,...,...,...,...
Vieira do Minho,0,0,0,0,0,0,0,0,0,0
Vila Nova de Famalicão,...,...,...,...,...,...,...,...,...,...
Vizela,0,0,0,0,0,0,0,0,0,0
A. M. Porto,4750615,224382,333178,150445,339853,448605,195810,262313,192459,2603570
Arouca,...,...,...,...,...,...,...,...,...,...
Espinho,...,...,...,...,...,...,...,...,...,...
Gondomar,0,0,0,0,0,0,0,0,0,0
Maia,0,0,0,0,0,0,0,0,0,0
Matosinhos,...,...,...,...,...,...,...,...,...,...
Oliveira de Azeméis,0,0,0,0,0,0,0,0,0,0
Paredes,...,...,...,...,...,...,...,...,...,...
Porto,2493391,115060,167144,74374,172753,253113,84901,116552,103673,1405821
Póvoa de Varzim,...,...,...,...,...,...,...,...,...,...
Santa Maria da Feira,254663,27780,16277,10369,26743,31644,15377,25706,11243,89524
Santo Tirso,140090,17131,17777,11425,8470,13948,8008,10278,11658,41395
São João da Madeira,0,0,0,0,0,0,0,0,0,0
Trofa,...,...,...,...,...,...,...,...,...,...
Vale de Cambra,0,0,0,0,0,0,0,0,0,0
Valongo,...,...,...,...,...,...,...,...,...,...
Vila do Conde,0,0,0,0,0,0,0,0,0,0
Vila Nova de Gaia,825778,23972,59553,20940,60310,65888,39264,43741,24186,487924
Alto Tâmega,0,0,0,0,0,0,0,0,0,0
Boticas,0,0,0,0,0,0,0,0,0,0
Chaves,0,0,0,0,0,0,0,0,0,0
Montalegre,0,0,0,0,0,0,0,0,0,0
Ribeira de Pena,0,0,0,0,0,0,0,0,0,0
Valpaços,0,0,0,0,0,0,0,0,0,0
Vila Pouca de Aguiar,0,0,0,0,0,0,0,0,0,0
Tâmega e Sousa,...,...,...,...,...,...,...,...,...,...
Amarante,0,0,0,0,0,0,0,0,0,0
Baião,0,0,0,0,0,0,0,0,0,0
Castelo de Paiva,0,0,0,0,0,0,0,0,0,0
Celorico de Basto,0,0,0,0,0,0,0,0,0,0
Cinfães,0,0,0,0,0,0,0,0,0,0
Felgueiras,...,...,...,...,...,...,...,...,...,...
Lousada,0,0,0,0,0,0,0,0,0,0
Marco de Canaveses,...,...,...,...,...,...,...,...,...,...
Paços de Ferreira,0,0,0,0,0,0,0,0,0,0
Penafiel,290899,20674,25046,11979,21221,27372,8333,17104,39329,119841
Resende,0,0,0,0,0,0,0,0,0,0
Douro,...,...,...,...,...,...,...,...,...,...
Alijó,0,0,0,0,0,0,0,0,0,0
Armamar,0,0,0,0,0,0,0,0,0,0
Carrazeda de Ansiães,0,0,0,0,0,0,0,0,0,0
Freixo de Espada à Cinta,0,0,0,0,0,0,0,0,0,0
Lamego,0,0,0,0,0,0,0,0,0,0
Mesão Frio,0,0,0,0,0,0,0,0,0,0
Moimenta da Beira,0,0,0,0,0,0,0,0,0,0
Murça,0,0,0,0,0,0,0,0,0,0
Penedono,0,0,0,0,0,0,0,0,0,0
Peso da Régua,0,0,0,0,0,0,0,0,0,0
Sabrosa,0,0,0,0,0,0,0,0,0,0
Santa Marta de Penaguião,0,0,0,0,0,0,0,0,0,0
São João da Pesqueira,0,0,0,0,0,0,0,0,0,0
Sernancelhe,0,0,0,0,0,0,0,0,0,0
Tabuaço,0,0,0,0,0,0,0,0,0,0
Tarouca,0,0,0,0,0,0,0,0,0,0
Torre de Moncorvo,0,0,0,0,0,0,0,0,0,0
Vila Nova de Foz Côa,0,0,0,0,0,0,0,0,0,0
Vila Real,...,...,...,...,...,...,...,...,...,...
Terras de Trás-os-Montes,...,...,...,...,...,...,...,...,...,...
